0,1,2,3
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
ABCB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000927,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
ADM,https://www.ncbi.nlm.nih.gov/nuccore/NM_001124,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
ANXA2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001002857,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
APOE,https://www.ncbi.nlm.nih.gov/nuccore/NM_000041,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
ATP6AP2,https://www.ncbi.nlm.nih.gov/nuccore/NM_005765,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
B2M,https://www.ncbi.nlm.nih.gov/nuccore/NM_004048_2,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
C4BPB,https://www.ncbi.nlm.nih.gov/nuccore/NM_000716,IL6R,https://www.ncbi.nlm.nih.gov/nuccore/NM_000565
CA1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001128829,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CA2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000067,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CASP8,https://www.ncbi.nlm.nih.gov/nuccore/NM_001080124,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CCL11,,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL11,,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002982,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL20,https://www.ncbi.nlm.nih.gov/nuccore/NM_001130046,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL20,https://www.ncbi.nlm.nih.gov/nuccore/NM_001130046,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL3,https://www.ncbi.nlm.nih.gov/nuccore/NM_002983_2,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL3,https://www.ncbi.nlm.nih.gov/nuccore/NM_002983_2,CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,SOD2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000636
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL1A,https://www.ncbi.nlm.nih.gov/nuccore/NM_000575
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TNF,https://www.ncbi.nlm.nih.gov/nuccore/NM_000594_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL8,https://www.ncbi.nlm.nih.gov/nuccore/NM_000584
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IFNG,https://www.ncbi.nlm.nih.gov/nuccore/NM_000619
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD4,https://www.ncbi.nlm.nih.gov/nuccore/NM_000616
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL10RA,https://www.ncbi.nlm.nih.gov/nuccore/NM_001558
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL1RN,https://www.ncbi.nlm.nih.gov/nuccore/NM_000577
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL10,https://www.ncbi.nlm.nih.gov/nuccore/NM_001565
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CTSL,https://www.ncbi.nlm.nih.gov/nuccore/NM_001257971
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,PDCD1,https://www.ncbi.nlm.nih.gov/nuccore/NM_005018_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,NFKB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001165412
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL9,https://www.ncbi.nlm.nih.gov/nuccore/NM_002416
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,S100A12,https://www.ncbi.nlm.nih.gov/nuccore/NM_005621
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL5,https://www.ncbi.nlm.nih.gov/nuccore/NM_000879
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL11,https://www.ncbi.nlm.nih.gov/nuccore/NM_001302123
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD83,https://www.ncbi.nlm.nih.gov/nuccore/NM_001040280
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MMP12,
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TNFSF10,https://www.ncbi.nlm.nih.gov/nuccore/NM_001190942
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,PLAU,https://www.ncbi.nlm.nih.gov/nuccore/NM_001145031
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ACOD1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001258406
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ADORA2A,https://www.ncbi.nlm.nih.gov/nuccore/NM_000675
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ADSL,https://www.ncbi.nlm.nih.gov/nuccore/NM_000026
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ARNTL,https://www.ncbi.nlm.nih.gov/nuccore/NM_001030272
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ARRB2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001257328
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ASGR2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001181
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,BCL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_001130845
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,BIRC3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001165
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,BTK,https://www.ncbi.nlm.nih.gov/nuccore/NM_000061
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CCL18,https://www.ncbi.nlm.nih.gov/nuccore/NM_002988_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL1B,https://www.ncbi.nlm.nih.gov/nuccore/NM_000576
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL2,https://www.ncbi.nlm.nih.gov/nuccore/NM_002089
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,LCK,https://www.ncbi.nlm.nih.gov/nuccore/NM_001042771
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MEFV,https://www.ncbi.nlm.nih.gov/nuccore/NM_000243
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD8A,https://www.ncbi.nlm.nih.gov/nuccore/NM_001145873
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,GZMB,https://www.ncbi.nlm.nih.gov/nuccore/NM_001346011
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,EPCAM,https://www.ncbi.nlm.nih.gov/nuccore/NM_002354
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,FCGR3A,https://www.ncbi.nlm.nih.gov/nuccore/NM_000569
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,PRF1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001083116
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,FCGR3B,https://www.ncbi.nlm.nih.gov/nuccore/NM_000570
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD14,https://www.ncbi.nlm.nih.gov/nuccore/NM_000591
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,FCER1G,https://www.ncbi.nlm.nih.gov/nuccore/NM_004106
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,LYZ,https://www.ncbi.nlm.nih.gov/nuccore/NM_000239
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TLR4,https://www.ncbi.nlm.nih.gov/nuccore/NM_003266
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CCL5,https://www.ncbi.nlm.nih.gov/nuccore/NM_001278736_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MS4A1,https://www.ncbi.nlm.nih.gov/nuccore/NM_021950
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,STAT3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001369512
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,PTPN6,https://www.ncbi.nlm.nih.gov/nuccore/NM_002831
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,JAK2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001322194
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CCR1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001295
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD163,https://www.ncbi.nlm.nih.gov/nuccore/NM_001370145
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCR6,https://www.ncbi.nlm.nih.gov/nuccore/NM_006564
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MRC1,https://www.ncbi.nlm.nih.gov/nuccore/NM_002438
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TLR2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001318787
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HP,https://www.ncbi.nlm.nih.gov/nuccore/NM_001126102
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,S100A9,https://www.ncbi.nlm.nih.gov/nuccore/NM_002965
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CYTIP,https://www.ncbi.nlm.nih.gov/nuccore/NM_004288
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD74,https://www.ncbi.nlm.nih.gov/nuccore/NM_001025158
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,OASL,https://www.ncbi.nlm.nih.gov/nuccore/NM_001261825
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IFIT3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001031683
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,KRT10,https://www.ncbi.nlm.nih.gov/nuccore/NM_000421
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,UBE2L6,https://www.ncbi.nlm.nih.gov/nuccore/NM_004223
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TAP1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000593_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,LY6E,https://www.ncbi.nlm.nih.gov/nuccore/NM_001127213_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IFIT1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001270927
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,SLC3A2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001012662
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCR4,https://www.ncbi.nlm.nih.gov/nuccore/NM_001008540
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MAPK3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001040056
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,RAF1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001354689
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,NFKBIA,https://www.ncbi.nlm.nih.gov/nuccore/NM_020529
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD69,https://www.ncbi.nlm.nih.gov/nuccore/NM_001781
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,LGALS3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001357678
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CYBB,https://www.ncbi.nlm.nih.gov/nuccore/NM_000397
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD53,https://www.ncbi.nlm.nih.gov/nuccore/NM_000560
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,DUSP5,https://www.ncbi.nlm.nih.gov/nuccore/NM_004419
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001328609
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CD3D,https://www.ncbi.nlm.nih.gov/nuccore/NM_000732
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MT2A,https://www.ncbi.nlm.nih.gov/nuccore/NM_005953
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,TCN2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000355
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,SLC1A5,https://www.ncbi.nlm.nih.gov/nuccore/NM_001145144
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ENTPD1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001098175
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,WAS,https://www.ncbi.nlm.nih.gov/nuccore/NM_000377
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MAPK14,https://www.ncbi.nlm.nih.gov/nuccore/NM_001315
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,F3,https://www.ncbi.nlm.nih.gov/nuccore/NM_001178096
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ICAM1,https://www.ncbi.nlm.nih.gov/nuccore/NM_000201
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CTSB,https://www.ncbi.nlm.nih.gov/nuccore/NM_001317237_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HLA-DRA,https://www.ncbi.nlm.nih.gov/nuccore/NM_019111_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HLA-F,https://www.ncbi.nlm.nih.gov/nuccore/NM_001098478_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IRF1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001354924
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HSPA5,https://www.ncbi.nlm.nih.gov/nuccore/NM_005347
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CTSC,https://www.ncbi.nlm.nih.gov/nuccore/NM_001114173
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,ITGB2,https://www.ncbi.nlm.nih.gov/nuccore/NM_000211
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CCL8,https://www.ncbi.nlm.nih.gov/nuccore/NM_005623
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IRF9,https://www.ncbi.nlm.nih.gov/nuccore/NM_006084_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CCL7,https://www.ncbi.nlm.nih.gov/nuccore/NM_006273
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CREM,https://www.ncbi.nlm.nih.gov/nuccore/NM_001267562
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,JUNB,https://www.ncbi.nlm.nih.gov/nuccore/NM_002229
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HLA-DPA1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001242524_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HLA-DPB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_002121_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,FOS,https://www.ncbi.nlm.nih.gov/nuccore/NM_005252
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,GPR183,https://www.ncbi.nlm.nih.gov/nuccore/NM_004951
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,MYD88,https://www.ncbi.nlm.nih.gov/nuccore/NM_001172566
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCL3,https://www.ncbi.nlm.nih.gov/nuccore/NM_002090
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,CXCR2,https://www.ncbi.nlm.nih.gov/nuccore/NM_001168298
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HLA-E,https://www.ncbi.nlm.nih.gov/nuccore/NM_005516_2
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,IFITM2,https://www.ncbi.nlm.nih.gov/nuccore/NM_006435
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,JUN,https://www.ncbi.nlm.nih.gov/nuccore/NM_002228
CCL4,https://www.ncbi.nlm.nih.gov/nuccore/NM_002984_2,HSD17B6,https://www.ncbi.nlm.nih.gov/nuccore/NM_003725
CCL7,https://www.ncbi.nlm.nih.gov/nuccore/NM_006273,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CCL8,https://www.ncbi.nlm.nih.gov/nuccore/NM_005623,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CD14,https://www.ncbi.nlm.nih.gov/nuccore/NM_000591,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CD163,https://www.ncbi.nlm.nih.gov/nuccore/NM_001370145,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CD83,https://www.ncbi.nlm.nih.gov/nuccore/NM_001040280,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CD83,https://www.ncbi.nlm.nih.gov/nuccore/NM_001040280,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CD83,https://www.ncbi.nlm.nih.gov/nuccore/NM_001040280,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CFP,https://www.ncbi.nlm.nih.gov/nuccore/NM_001145252,CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511
CFP,https://www.ncbi.nlm.nih.gov/nuccore/NM_001145252,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CTSL,https://www.ncbi.nlm.nih.gov/nuccore/NM_001257971,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CTSL,https://www.ncbi.nlm.nih.gov/nuccore/NM_001257971,IL7R,https://www.ncbi.nlm.nih.gov/nuccore/NM_002185
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,IL6,https://www.ncbi.nlm.nih.gov/nuccore/NM_000600
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,NFKB1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001165412
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,JUN,https://www.ncbi.nlm.nih.gov/nuccore/NM_002228
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,CXCL9,https://www.ncbi.nlm.nih.gov/nuccore/NM_002416
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,THBD,https://www.ncbi.nlm.nih.gov/nuccore/NM_000361
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,IL33,https://www.ncbi.nlm.nih.gov/nuccore/NM_001199640
CXCL1,https://www.ncbi.nlm.nih.gov/nuccore/NM_001511,PGF,https://www.ncbi.nlm.nih.gov/nuccore/NM_001207012
